U,X,Y
50.716861,750,1950
51.348659,750,2000
51.348659,750,2050
51.304791,750,2100
51.304791,750,2150
46.1643,750,2200
46.1643,750,2250
43.063126,750,2300
43.063126,750,2350
42.077675,750,2400
42.077675,750,2450
49.047619,800,0
49.047619,800,50
72.575589,800,100
72.575589,800,150
73.303589,800,200
73.303589,800,250
68.464249,800,300
68.464249,800,350
16.42448,800,400
16.42448,800,450
17.02822,800,500
17.02822,800,550
0,800,600
0,800,650
0,800,700
0,800,750
0,800,800
0,800,850
0,800,900
0,800,950
52.380952,800,1000
52.380952,800,1050
52.380952,800,1100
52.380952,800,1150
52.380952,800,1200
52.380952,800,1250
58.064015,800,1300
58.064015,800,1350
57.655427,800,1400
57.655427,800,1450
59.792929,800,1500
59.792929,800,1550
56.879352,800,1600
56.879352,800,1650
56.932697,800,1700
56.932697,800,1750
63.745062,800,1800
63.745062,800,1850
54.699547,800,1900
54.699547,800,1950
60.190595,800,2000
60.190595,800,2050
61.795055,800,2100
61.795055,800,2150
46.803928,800,2200
46.803928,800,2250
46.485371,800,2300
46.485371,800,2350
44.742422,800,2400
44.742422,800,2450
49.047619,850,0
49.047619,850,50
72.575589,850,100
72.575589,850,150
73.303589,850,200
73.303589,850,250
68.464249,850,300
68.464249,850,350
16.42448,850,400
16.42448,850,450
17.02822,850,500
17.02822,850,550
0,850,600
0,850,650
0,850,700
0,850,750
0,850,800
0,850,850
0,850,900
0,850,950
52.380952,850,1000
52.380952,850,1050
52.380952,850,1100
52.380952,850,1150
52.380952,850,1200
52.380952,850,1250
58.064015,850,1300
58.064015,850,1350
57.655427,850,1400
57.655427,850,1450
59.792929,850,1500
59.792929,850,1550
56.879352,850,1600
56.879352,850,1650
56.932697,850,1700
56.932697,850,1750
63.745062,850,1800
63.745062,850,1850
54.699547,850,1900
54.699547,850,1950
60.190595,850,2000
60.190595,850,2050
61.795055,850,2100
61.795055,850,2150
46.803928,850,2200
46.803928,850,2250
46.485371,850,2300
46.485371,850,2350
44.742422,850,2400
44.742422,850,2450
49.047619,900,0
49.047619,900,50
63.953559,900,100
63.953559,900,150
76.122719,900,200
76.122719,900,250
71.662819,900,300
71.662819,900,350
21.47293,900,400
21.47293,900,450
19.50152,900,500
19.50152,900,550
0,900,600
0,900,650
0,900,700
0,900,750
0,900,800
0,900,850
1.722113,900,900
1.722113,900,950
52.380952,900,1000
52.380952,900,1050
56.887928,900,1100
56.887928,900,1150
58.822399,900,1200
58.822399,900,1250
62.250282,900,1300
62.250282,900,1350
61.596452,900,1400
61.596452,900,1450
62.406128,900,1500
62.406128,900,1550
66.467664,900,1600
66.467664,900,1650
63.75202,900,1700
63.75202,900,1750
76.676297,900,1800
76.676297,900,1850
74.419254,900,1900
74.419254,900,1950
71.249573,900,2000
71.249573,900,2050
69.929488,900,2100
69.929488,900,2150
59.238092,900,2200
59.238092,900,2250
58.656334,900,2300
58.656334,900,2350
49.580217,900,2400
49.580217,900,2450
49.047619,950,0
49.047619,950,50
63.953559,950,100
63.953559,950,150
76.122719,950,200
76.122719,950,250
71.662819,950,300
71.662819,950,350
21.47293,950,400
21.47293,950,450
19.50152,950,500
19.50152,950,550
0,950,600
0,950,650
0,950,700
0,950,750
0,950,800
0,950,850
1.722113,950,900
1.722113,950,950
52.380952,950,1000
52.380952,950,1050
56.887928,950,1100
56.887928,950,1150
58.822399,950,1200
58.822399,950,1250
62.250282,950,1300
62.250282,950,1350
61.596452,950,1400
61.596452,950,1450
62.406128,950,1500
62.406128,950,1550
66.467664,950,1600
66.467664,950,1650
63.75202,950,1700
63.75202,950,1750
76.676297,950,1800
76.676297,950,1850
74.419254,950,1900
74.419254,950,1950
71.249573,950,2000
71.249573,950,2050
69.929488,950,2100
69.929488,950,2150
59.238092,950,2200
59.238092,950,2250
58.656334,950,2300
58.656334,950,2350
49.580217,950,2400
49.580217,950,2450
64.161909,1000,0
64.161909,1000,50
73.334739,1000,100
73.334739,1000,150
73.288009,1000,200
73.288009,1000,250
73.136049,1000,300
73.136049,1000,350
13.86245,1000,400
13.86245,1000,450
21.70295,1000,500
21.70295,1000,550
0,1000,600
0,1000,650
8.15739,1000,700
8.15739,1000,750
4.218238,1000,800
4.218238,1000,850
2.845891,1000,900
2.845891,1000,950
55.323042,1000,1000
55.323042,1000,1050
57.717686,1000,1100
57.717686,1000,1150
64.130004,1000,1200
64.130004,1000,1250
71.768176,1000,1300
71.768176,1000,1350
66.295875,1000,1400
66.295875,1000,1450
66.743497,1000,1500
66.743497,1000,1550
69.215597,1000,1600
69.215597,1000,1650
81.209127,1000,1700
81.209127,1000,1750
85.710777,1000,1800
85.710777,1000,1850
81.305927,1000,1900
81.305927,1000,1950
75.036502,1000,2000
75.036502,1000,2050
72.563288,1000,2100
72.563288,1000,2150
62.858467,1000,2200
62.858467,1000,2250
62.871897,1000,2300
62.871897,1000,2350
60.255786,1000,2400
60.255786,1000,2450
66.384131,1050,0
66.384131,1050,50
75.556961,1050,100
75.556961,1050,150
75.510231,1050,200
75.510231,1050,250
75.358271,1050,300
75.358271,1050,350
67.830704,1050,400
67.830704,1050,450
75.671204,1050,500
75.671204,1050,550
53.968254,1050,600
53.968254,1050,650
62.125644,1050,700
62.125644,1050,750
58.186492,1050,800
58.186492,1050,850
56.814145,1050,900
56.814145,1050,950
55.640502,1050,1000
55.640502,1050,1050
58.035147,1050,1100
58.035147,1050,1150
64.447465,1050,1200
64.447465,1050,1250
72.085637,1050,1300
72.085637,1050,1350
66.613336,1050,1400
66.613336,1050,1450
67.060958,1050,1500
67.060958,1050,1550
66.993375,1050,1600
66.993375,1050,1650
78.986905,1050,1700
78.986905,1050,1750
83.488555,1050,1800
83.488555,1050,1850
79.083705,1050,1900
79.083705,1050,1950
72.81428,1050,2000
72.81428,1050,2050
70.341066,1050,2100
70.341066,1050,2150
70.001324,1050,2200
